question,answer
What is your return policy?,Our return policy allows returns within 30 days of purchase with a valid receipt.
How do I track my order?,You can track your order using the tracking number provided in your shipping confirmation email.
What payment methods do you accept?,"We accept major credit cards, PayPal, and Apple Pay."
How can I contact customer support?,You can contact us via email at support@example.com or call us at 1-800-123-4567.
Do you offer international shipping?,"Yes, we offer international shipping to select countries. Shipping fees and delivery times may vary."
How long does shipping take?,Shipping within the country usually takes 3-5 business days. International shipping times vary.
Can I change or cancel my order?,You can change or cancel your order within 24 hours of placing it. Please contact customer support.
What is your warranty policy?,Our products come with a one-year warranty against manufacturing defects.
Is my personal information secure?,"Yes, we use industry-standard encryption to protect your personal information."
How do I create an account?,Click on 'Sign Up' or 'Create Account' and follow the instructions.
What should I do if my product is damaged?,What should I do if my product is damaged?
How do I subscribe to your newsletter?,You can subscribe to our newsletter by entering your email in the footer of our website.
Do you have a loyalty program?,"Yes, we have a loyalty program that rewards returning customers."
How do I leave a product review?,You can leave a product review on the product page after you have purchased the item.
Are your products eco-friendly?,We are committed to sustainability and offer a range of eco-friendly products.
What is the difference between two products?,What is the difference between two products?
How do I use a discount code?,Enter the discount code in the designated field during checkout.
Do you offer gift wrapping?,"Yes, we offer gift wrapping for an additional fee."
What are the shipping costs?,Shipping costs are calculated based on your location and the weight of your order.
How do I reset my password?,Click on 'Forgot Password' on the login page and follow the instructions.
What if I receive the wrong item?,Contact customer support with your order number and details of the incorrect item.
How do I process a return?,Visit our returns page and follow the instructions for initiating a return.
Can I exchange an item?,"Yes, you can exchange an item for a different size or color, subject to availability."
What is your refund process?,Refunds are processed within 5-7 business days after we receive the returned item.
How long does a refund take?,"Refunds usually take 5-10 business days to appear in your account, depending on your bank."
Do you have a physical store?,"No, we are currently an online-only store."
What are your business hours?,"Our customer support is available Monday to Friday, 9 AM to 5 PM EST."
How do I unsubscribe from emails?,Click the 'Unsubscribe' link at the bottom of our emails.
Are your products ethically sourced?,We work with suppliers who adhere to ethical sourcing practices.
How do I find a specific product?,You can use the search bar or browse by category to find a product.
What materials are your products made of?,Product materials are listed in the product description on each product page.
Are there any age restrictions on products?,Any age restrictions will be clearly stated on the product page.
How do I report a problem with the website?,Please use the 'Contact Us' form to report any website issues.
Do you offer corporate discounts?,Do you offer corporate discounts?
What is your policy on backordered items?,What is your policy on backordered items?
How do I pre-order an item?,How do I pre-order an item?
What is your holiday return policy?,What is your holiday return policy?
How do I use a gift card?,How do I use a gift card?
Do you offer technical support?,Do you offer technical support?
How do I clean and maintain my product?,How do I clean and maintain my product?
Are there any product recalls?,Are there any product recalls?
How do I provide feedback?,How do I provide feedback?
Where can I find product manuals?,Where can I find product manuals?
What is your privacy policy?,What is your privacy policy?
What are the terms and conditions of your service?,What are the terms and conditions of your service?
How do I apply for a job?,How do I apply for a job?
Do you have an affiliate program?,Do you have an affiliate program?
How do I partner with you?,How do I partner with you?
